Antecedent,Consequent,Support,Confidence,Coverage,Strength,Lift,Leverage
string,string,continuous,continuous,continuous,continuous,continuous,continuous
meta,meta,,,,,,
롤빵=1,우유=1,0.016,1,0.016,62.722,1,0
감귤류=1,우유=1,0.015,1,0.015,66.412,1,0
"롤빵=1, 감귤류=1",우유=1,0.001,1,0.001,1129,1,0
기타 채소=1,우유=1,0.013,1,0.013,75.267,1,0
"기타 채소=1, 롤빵=1",우유=1,0.002,1,0.002,564.5,1,0
"기타 채소=1, 감귤류=1",우유=1,0.002,1,0.002,564.5,1,0
"롤빵=1, 감귤류=1",기타 채소=1,0.001,1,0.001,15,75.267,0.001
"기타 채소=1, 롤빵=1",감귤류=1,0.001,0.5,0.002,8.5,33.206,0.001
"기타 채소=1, 감귤류=1",롤빵=1,0.001,0.5,0.002,9,31.361,0.001
"기타 채소=1, 롤빵=1, 감귤류=1",우유=1,0.001,1,0.001,1129,1,0
"우유=1, 롤빵=1, 감귤류=1",기타 채소=1,0.001,1,0.001,15,75.267,0.001
"롤빵=1, 감귤류=1","우유=1, 기타 채소=1",0.001,1,0.001,15,75.267,0.001
"우유=1, 기타 채소=1, 롤빵=1",감귤류=1,0.001,0.5,0.002,8.5,33.206,0.001
"기타 채소=1, 롤빵=1","우유=1, 감귤류=1",0.001,0.5,0.002,8.5,33.206,0.001
"우유=1, 기타 채소=1, 감귤류=1",롤빵=1,0.001,0.5,0.002,9,31.361,0.001
"기타 채소=1, 감귤류=1","우유=1, 롤빵=1",0.001,0.5,0.002,9,31.361,0.001
소고기=1,우유=1,0.012,1,0.012,80.643,1,0
"소고기=1, 기타 채소=1",우유=1,0.002,1,0.002,564.5,1,0
"소고기=1, 롤빵=1",우유=1,0.001,1,0.001,1129,1,0
"기타 채소=1, 롤빵=1",소고기=1,0.001,0.5,0.002,7,40.321,0.001
"소고기=1, 롤빵=1",기타 채소=1,0.001,1,0.001,15,75.267,0.001
"소고기=1, 기타 채소=1",롤빵=1,0.001,0.5,0.002,9,31.361,0.001
"소고기=1, 기타 채소=1, 롤빵=1",우유=1,0.001,1,0.001,1129,1,0
"우유=1, 기타 채소=1, 롤빵=1",소고기=1,0.001,0.5,0.002,7,40.321,0.001
"기타 채소=1, 롤빵=1","우유=1, 소고기=1",0.001,0.5,0.002,7,40.321,0.001
"우유=1, 소고기=1, 롤빵=1",기타 채소=1,0.001,1,0.001,15,75.267,0.001
"소고기=1, 롤빵=1","우유=1, 기타 채소=1",0.001,1,0.001,15,75.267,0.001
"우유=1, 소고기=1, 기타 채소=1",롤빵=1,0.001,0.5,0.002,9,31.361,0.001
"소고기=1, 기타 채소=1","우유=1, 롤빵=1",0.001,0.5,0.002,9,31.361,0.001
"소고기=1, 감귤류=1",우유=1,0.001,1,0.001,1129,1,0
"소고기=1, 기타 채소=1",감귤류=1,0.001,0.5,0.002,8.5,33.206,0.001
"기타 채소=1, 감귤류=1",소고기=1,0.001,0.5,0.002,7,40.321,0.001
"소고기=1, 감귤류=1",기타 채소=1,0.001,1,0.001,15,75.267,0.001
"우유=1, 소고기=1, 기타 채소=1",감귤류=1,0.001,0.5,0.002,8.5,33.206,0.001
"소고기=1, 기타 채소=1","우유=1, 감귤류=1",0.001,0.5,0.002,8.5,33.206,0.001
"소고기=1, 기타 채소=1, 감귤류=1",우유=1,0.001,1,0.001,1129,1,0
"우유=1, 기타 채소=1, 감귤류=1",소고기=1,0.001,0.5,0.002,7,40.321,0.001
"기타 채소=1, 감귤류=1","우유=1, 소고기=1",0.001,0.5,0.002,7,40.321,0.001
"우유=1, 소고기=1, 감귤류=1",기타 채소=1,0.001,1,0.001,15,75.267,0.001
"소고기=1, 감귤류=1","우유=1, 기타 채소=1",0.001,1,0.001,15,75.267,0.001
"롤빵=1, 감귤류=1",소고기=1,0.001,1,0.001,14,80.643,0.001
"소고기=1, 롤빵=1",감귤류=1,0.001,1,0.001,17,66.412,0.001
"소고기=1, 감귤류=1",롤빵=1,0.001,1,0.001,18,62.722,0.001
"소고기=1, 롤빵=1, 감귤류=1",우유=1,0.001,1,0.001,1129,1,0
"우유=1, 롤빵=1, 감귤류=1",소고기=1,0.001,1,0.001,14,80.643,0.001
"롤빵=1, 감귤류=1","우유=1, 소고기=1",0.001,1,0.001,14,80.643,0.001
"우유=1, 소고기=1, 롤빵=1",감귤류=1,0.001,1,0.001,17,66.412,0.001
"소고기=1, 롤빵=1","우유=1, 감귤류=1",0.001,1,0.001,17,66.412,0.001
"우유=1, 소고기=1, 감귤류=1",롤빵=1,0.001,1,0.001,18,62.722,0.001
"소고기=1, 감귤류=1","우유=1, 롤빵=1",0.001,1,0.001,18,62.722,0.001
"소고기=1, 기타 채소=1, 롤빵=1",감귤류=1,0.001,1,0.001,17,66.412,0.001
"기타 채소=1, 롤빵=1","소고기=1, 감귤류=1",0.001,0.5,0.002,0.5,564.5,0.001
"소고기=1, 롤빵=1","기타 채소=1, 감귤류=1",0.001,1,0.001,2,564.5,0.001
"소고기=1, 기타 채소=1","롤빵=1, 감귤류=1",0.001,0.5,0.002,0.5,564.5,0.001
"기타 채소=1, 롤빵=1, 감귤류=1",소고기=1,0.001,1,0.001,14,80.643,0.001
"소고기=1, 롤빵=1, 감귤류=1",기타 채소=1,0.001,1,0.001,15,75.267,0.001
"롤빵=1, 감귤류=1","소고기=1, 기타 채소=1",0.001,1,0.001,2,564.5,0.001
"소고기=1, 기타 채소=1, 감귤류=1",롤빵=1,0.001,1,0.001,18,62.722,0.001
"소고기=1, 감귤류=1","기타 채소=1, 롤빵=1",0.001,1,0.001,2,564.5,0.001
"기타 채소=1, 감귤류=1","소고기=1, 롤빵=1",0.001,0.5,0.002,0.5,564.5,0.001
"기타 채소=1, 롤빵=1, 감귤류=1","우유=1, 소고기=1",0.001,1,0.001,14,80.643,0.001
"소고기=1, 롤빵=1, 감귤류=1","우유=1, 기타 채소=1",0.001,1,0.001,15,75.267,0.001
