회원번호,날짜,우유,소고기,열대과일,버터,뿌리채소,기타 채소,사과/배,롤빵,생크림/사워크림,닭고기,생수,다진고기,페이스트리,감귤류,가공치즈,식빵,스낵,과일/채소주스,요거트,응고유,계란,커피,돼지고기,프리미엄 초콜릿,디저트,아이스크림,베리류,보관용 빵류,통밀빵,기타 음료,반조리 빵,쇼핑백,발라먹는 치즈,초콜릿,신문,냉동채소,차,사탕
continuous,string,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 
meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta
1000,15-03-2015,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000,24-06-2014,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000,25-11-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000,27-05-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001,14-04-2015,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001,2007-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001,2012-12-14,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002,26-04-2014,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002,26-04-2015,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003,15-10-2014,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003,2010-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004,13-10-2014,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004,19-08-2014,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004,2002-12-15,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004,2004-02-14,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004,2010-06-14,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005,23-01-2014,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1006,14-06-2015,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1006,2005-07-14,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
1006,2009-04-14,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008,2003-10-15,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
